input_sizes,output_layouts
"[(261, 125), (229, 238), (134, 88), (60, 297), (297, 241), (250, 141)]","[(620, 447, 881, 447, 881, 572, 620, 572), (99, 662, 328, 662, 328, 900, 99, 900), (810, 744, 944, 744, 944, 832, 810, 832), (563, 7, 623, 7, 623, 304, 563, 304), (55, 342, 352, 342, 352, 583, 55, 583), (244, 282, 494, 282, 494, 423, 244, 423)]"
"[(138, 299), (116, 267), (76, 252), (282, 168), (170, 198), (247, 231), (209, 253), (122, 123), (241, 259), (123, 181), (114, 263)]","[(718, 613, 856, 613, 856, 912, 718, 912), (338, 602, 454, 602, 454, 869, 338, 869), (142, 642, 218, 642, 218, 894, 142, 894), (216, 15, 498, 15, 498, 183, 216, 183), (740, 633, 910, 633, 910, 831, 740, 831), (268, 560, 515, 560, 515, 791, 268, 791), (79, 143, 288, 143, 288, 396, 79, 396), (509, 85, 631, 85, 631, 208, 509, 208), (124, 156, 365, 156, 365, 415, 124, 415), (318, 417, 441, 417, 441, 598, 318, 598), (291, 521, 405, 521, 405, 784, 291, 784)]"
"[(148, 153), (192, 87), (171, 144), (286, 268), (174, 80), (54, 52), (158, 246)]","[(657, 39, 805, 39, 805, 192, 657, 192), (444, 180, 636, 180, 636, 267, 444, 267), (580, 485, 751, 485, 751, 629, 580, 629), (226, 347, 512, 347, 512, 615, 226, 615), (424, 744, 598, 744, 598, 824, 424, 824), (241, 419, 295, 419, 295, 471, 241, 471), (792, 293, 950, 293, 950, 539, 792, 539)]"
"[(176, 52), (156, 205), (91, 110), (66, 131), (282, 221), (72, 187), (51, 154)]","[(587, 321, 763, 321, 763, 373, 587, 373), (81, 687, 237, 687, 237, 892, 81, 892), (444, 57, 535, 57, 535, 167, 444, 167), (222, 866, 288, 866, 288, 997, 222, 997), (340, 32, 622, 32, 622, 253, 340, 253), (703, 214, 775, 214, 775, 401, 703, 401), (326, 8, 377, 8, 377, 162, 326, 162)]"
"[(104, 79), (251, 183), (286, 110), (88, 78), (193, 157), (122, 153), (247, 158), (68, 52), (95, 199), (169, 171)]","[(186, 451, 290, 451, 290, 530, 186, 530), (425, 397, 676, 397, 676, 580, 425, 580), (602, 566, 888, 566, 888, 676, 602, 676), (180, 786, 268, 786, 268, 864, 180, 864), (294, 188, 487, 188, 487, 345, 294, 345), (553, 431, 675, 431, 675, 584, 553, 584), (341, 715, 588, 715, 588, 873, 341, 873), (366, 596, 434, 596, 434, 648, 366, 648), (457, 154, 552, 154, 552, 353, 457, 353), (159, 592, 328, 592, 328, 763, 159, 763)]"
"[(152, 294), (175, 288), (289, 112), (61, 230)]","[(489, 629, 641, 629, 641, 923, 489, 923), (111, 50, 286, 50, 286, 338, 111, 338), (32, 454, 321, 454, 321, 566, 32, 566), (442, 3, 503, 3, 503, 233, 442, 233)]"
"[(289, 180), (82, 207), (151, 247), (185, 56)]","[(137, 481, 426, 481, 426, 661, 137, 661), (104, 488, 186, 488, 186, 695, 104, 695), (542, 13, 693, 13, 693, 260, 542, 260), (107, 816, 292, 816, 292, 872, 107, 872)]"
"[(215, 151), (209, 298), (273, 87)]","[(138, 598, 353, 598, 353, 749, 138, 749), (422, 89, 631, 89, 631, 387, 422, 387), (637, 190, 910, 190, 910, 277, 637, 277)]"
"[(272, 285), (193, 142), (281, 193), (274, 297), (78, 251), (104, 62), (164, 202), (89, 84), (258, 260), (218, 104), (149, 50), (209, 225)]","[(377, 57, 649, 57, 649, 342, 377, 342), (521, 362, 714, 362, 714, 504, 521, 504), (686, 326, 967, 326, 967, 519, 686, 519), (218, 42, 492, 42, 492, 339, 218, 339), (805, 538, 883, 538, 883, 789, 805, 789), (652, 786, 756, 786, 756, 848, 652, 848), (407, 509, 571, 509, 571, 711, 407, 711), (860, 318, 949, 318, 949, 402, 860, 402), (672, 205, 930, 205, 930, 465, 672, 465), (464, 811, 682, 811, 682, 915, 464, 915), (718, 115, 867, 115, 867, 165, 718, 165), (779, 575, 988, 575, 988, 800, 779, 800)]"
"[(180, 108), (139, 195), (88, 70), (263, 106)]","[(464, 443, 644, 443, 644, 551, 464, 551), (25, 670, 164, 670, 164, 865, 25, 865), (663, 559, 751, 559, 751, 629, 663, 629), (308, 619, 571, 619, 571, 725, 308, 725)]"
"[(210, 174), (58, 92), (265, 151), (92, 54), (277, 111), (300, 62), (269, 184)]","[(24, 42, 234, 42, 234, 216, 24, 216), (304, 666, 362, 666, 362, 758, 304, 758), (548, 555, 813, 555, 813, 706, 548, 706), (561, 185, 653, 185, 653, 239, 561, 239), (410, 447, 687, 447, 687, 558, 410, 558), (624, 306, 924, 306, 924, 368, 624, 368), (704, 8, 973, 8, 973, 192, 704, 192)]"
"[(227, 61), (137, 269), (184, 215), (100, 277), (260, 124), (102, 216)]","[(430, 176, 657, 176, 657, 237, 430, 237), (239, 652, 376, 652, 376, 921, 239, 921), (120, 141, 304, 141, 304, 356, 120, 356), (856, 257, 956, 257, 956, 534, 856, 534), (138, 265, 398, 265, 398, 389, 138, 389), (324, 541, 426, 541, 426, 757, 324, 757)]"
"[(60, 258), (184, 206), (259, 265), (212, 199), (167, 206), (165, 238), (213, 94), (108, 149), (154, 94), (102, 212), (268, 221)]","[(368, 348, 428, 348, 428, 606, 368, 606), (562, 634, 746, 634, 746, 840, 562, 840), (328, 711, 587, 711, 587, 976, 328, 976), (122, 467, 334, 467, 334, 666, 122, 666), (500, 748, 667, 748, 667, 954, 500, 954), (453, 631, 618, 631, 618, 869, 453, 869), (685, 850, 898, 850, 898, 944, 685, 944), (98, 811, 206, 811, 206, 960, 98, 960), (565, 48, 719, 48, 719, 142, 565, 142), (632, 730, 734, 730, 734, 942, 632, 942), (285, 132, 553, 132, 553, 353, 285, 353)]"
"[(76, 183), (113, 263), (115, 104), (171, 230)]","[(786, 249, 862, 249, 862, 432, 786, 432), (317, 412, 430, 412, 430, 675, 317, 675), (268, 323, 383, 323, 383, 427, 268, 427), (782, 153, 953, 153, 953, 383, 782, 383)]"
"[(95, 295), (57, 99), (114, 153), (204, 199), (150, 148), (214, 107), (138, 192), (272, 212)]","[(615, 532, 710, 532, 710, 827, 615, 827), (478, 304, 535, 304, 535, 403, 478, 403), (353, 140, 467, 140, 467, 293, 353, 293), (448, 372, 652, 372, 652, 571, 448, 571), (457, 767, 607, 767, 607, 915, 457, 915), (323, 641, 537, 641, 537, 748, 323, 748), (404, 795, 542, 795, 542, 987, 404, 987), (153, 545, 425, 545, 425, 757, 153, 757)]"
"[(246, 120), (251, 222), (67, 115), (80, 125), (179, 166)]","[(443, 323, 689, 323, 689, 443, 443, 443), (124, 409, 375, 409, 375, 631, 124, 631), (213, 224, 280, 224, 280, 339, 213, 339), (560, 466, 640, 466, 640, 591, 560, 591), (404, 627, 583, 627, 583, 793, 404, 793)]"
"[(89, 202), (186, 163), (78, 288), (138, 291), (247, 177), (186, 176), (135, 189), (156, 89), (259, 213)]","[(595, 296, 684, 296, 684, 498, 595, 498), (340, 688, 526, 688, 526, 851, 340, 851), (290, 253, 368, 253, 368, 541, 290, 541), (75, 434, 213, 434, 213, 725, 75, 725), (358, 747, 605, 747, 605, 924, 358, 924), (470, 504, 656, 504, 656, 680, 470, 680), (766, 675, 901, 675, 901, 864, 766, 864), (110, 909, 266, 909, 266, 998, 110, 998), (221, 457, 480, 457, 480, 670, 221, 670)]"
"[(151, 64), (62, 157), (132, 153), (70, 184), (70, 198)]","[(330, 890, 481, 890, 481, 954, 330, 954), (297, 149, 359, 149, 359, 306, 297, 306), (684, 112, 816, 112, 816, 265, 684, 265), (220, 154, 290, 154, 290, 338, 220, 338), (572, 733, 642, 733, 642, 931, 572, 931)]"
"[(279, 69), (248, 55), (232, 268), (247, 83), (164, 106), (271, 141), (260, 65), (61, 250), (282, 105), (263, 227), (156, 284), (212, 239)]","[(168, 175, 447, 175, 447, 244, 168, 244), (158, 628, 406, 628, 406, 683, 158, 683), (103, 485, 335, 485, 335, 753, 103, 753), (497, 330, 744, 330, 744, 413, 497, 413), (592, 700, 756, 700, 756, 806, 592, 806), (127, 604, 398, 604, 398, 745, 127, 745), (736, 485, 996, 485, 996, 550, 736, 550), (805, 594, 866, 594, 866, 844, 805, 844), (394, 508, 676, 508, 676, 613, 394, 613), (705, 452, 968, 452, 968, 679, 705, 679), (317, 551, 473, 551, 473, 835, 317, 835), (39, 1, 251, 1, 251, 240, 39, 240)]"
"[(146, 153), (177, 156), (178, 179), (99, 279), (288, 154), (220, 121), (130, 155), (270, 70), (196, 174)]","[(582, 194, 728, 194, 728, 347, 582, 347), (400, 5, 577, 5, 577, 161, 400, 161), (746, 218, 924, 218, 924, 397, 746, 397), (636, 351, 735, 351, 735, 630, 636, 630), (168, 283, 456, 283, 456, 437, 168, 437), (741, 136, 961, 136, 961, 257, 741, 257), (390, 185, 520, 185, 520, 340, 390, 340), (173, 461, 443, 461, 443, 531, 173, 531), (107, 104, 303, 104, 303, 278, 107, 278)]"
"[(58, 279), (147, 172), (229, 100), (261, 103), (104, 76), (228, 144), (219, 284), (227, 291), (220, 210), (237, 198)]","[(124, 185, 182, 185, 182, 464, 124, 464), (98, 272, 245, 272, 245, 444, 98, 444), (36, 504, 265, 504, 265, 604, 36, 604), (683, 621, 944, 621, 944, 724, 683, 724), (857, 542, 961, 542, 961, 618, 857, 618), (97, 125, 325, 125, 325, 269, 97, 269), (15, 63, 234, 63, 234, 347, 15, 347), (714, 69, 941, 69, 941, 360, 714, 360), (175, 553, 395, 553, 395, 763, 175, 763), (5, 167, 242, 167, 242, 365, 5, 365)]"
"[(54, 193), (112, 199), (163, 114)]","[(55, 785, 109, 785, 109, 978, 55, 978), (505, 80, 617, 80, 617, 279, 505, 279), (58, 605, 221, 605, 221, 719, 58, 719)]"
"[(161, 231), (67, 211), (158, 295), (78, 175), (157, 270), (272, 263), (182, 261), (186, 98), (123, 57), (135, 133), (114, 249), (285, 66)]","[(701, 704, 862, 704, 862, 935, 701, 935), (142, 90, 209, 90, 209, 301, 142, 301), (55, 264, 213, 264, 213, 559, 55, 559), (859, 414, 937, 414, 937, 589, 859, 589), (313, 560, 470, 560, 470, 830, 313, 830), (175, 97, 447, 97, 447, 360, 175, 360), (71, 613, 253, 613, 253, 874, 71, 874), (142, 868, 328, 868, 328, 966, 142, 966), (192, 740, 315, 740, 315, 797, 192, 797), (850, 799, 985, 799, 985, 932, 850, 932), (689, 586, 803, 586, 803, 835, 689, 835), (341, 774, 626, 774, 626, 840, 341, 840)]"
"[(232, 160), (99, 50), (281, 222), (300, 282), (153, 248), (131, 168), (76, 96), (192, 124), (116, 126), (106, 248), (160, 242), (107, 208)]","[(452, 668, 684, 668, 684, 828, 452, 828), (338, 293, 437, 293, 437, 343, 338, 343), (232, 532, 513, 532, 513, 754, 232, 754), (30, 583, 330, 583, 330, 865, 30, 865), (99, 696, 252, 696, 252, 944, 99, 944), (337, 665, 468, 665, 468, 833, 337, 833), (779, 400, 855, 400, 855, 496, 779, 496), (98, 733, 290, 733, 290, 857, 98, 857), (878, 195, 994, 195, 994, 321, 878, 321), (591, 690, 697, 690, 697, 938, 591, 938), (631, 755, 791, 755, 791, 997, 631, 997), (161, 3, 268, 3, 268, 211, 161, 211)]"
"[(227, 217), (300, 207), (128, 185), (147, 68), (290, 229), (130, 222), (122, 292), (179, 213), (137, 80), (240, 207), (67, 110)]","[(599, 372, 826, 372, 826, 589, 599, 589), (437, 327, 737, 327, 737, 534, 437, 534), (304, 49, 432, 49, 432, 234, 304, 234), (425, 74, 572, 74, 572, 142, 425, 142), (444, 659, 734, 659, 734, 888, 444, 888), (581, 212, 711, 212, 711, 434, 581, 434), (156, 334, 278, 334, 278, 626, 156, 626), (775, 74, 954, 74, 954, 287, 775, 287), (591, 187, 728, 187, 728, 267, 591, 267), (151, 292, 391, 292, 391, 499, 151, 499), (717, 263, 784, 263, 784, 373, 717, 373)]"
"[(103, 144), (173, 209), (85, 52), (286, 271), (274, 190), (250, 298), (92, 195), (275, 210), (157, 152)]","[(770, 183, 873, 183, 873, 327, 770, 327), (16, 619, 189, 619, 189, 828, 16, 828), (708, 582, 793, 582, 793, 634, 708, 634), (567, 386, 853, 386, 853, 657, 567, 657), (400, 577, 674, 577, 674, 767, 400, 767), (326, 677, 576, 677, 576, 975, 326, 975), (28, 595, 120, 595, 120, 790, 28, 790), (546, 669, 821, 669, 821, 879, 546, 879), (416, 734, 573, 734, 573, 886, 416, 886)]"
"[(254, 297), (54, 151), (298, 120), (252, 174), (202, 199), (117, 69), (147, 243), (71, 104), (52, 140), (70, 200), (258, 121), (193, 202)]","[(433, 424, 687, 424, 687, 721, 433, 721), (262, 194, 316, 194, 316, 345, 262, 345), (93, 500, 391, 500, 391, 620, 93, 620), (76, 49, 328, 49, 328, 223, 76, 223), (710, 671, 912, 671, 912, 870, 710, 870), (325, 132, 442, 132, 442, 201, 325, 201), (197, 91, 344, 91, 344, 334, 197, 334), (319, 530, 390, 530, 390, 634, 319, 634), (485, 642, 537, 642, 537, 782, 485, 782), (121, 604, 191, 604, 191, 804, 121, 804), (566, 66, 824, 66, 824, 187, 566, 187), (513, 544, 706, 544, 706, 746, 513, 746)]"
"[(272, 83), (217, 53), (266, 87), (55, 198), (65, 211), (271, 263), (257, 290), (260, 140), (182, 119), (223, 50), (207, 232), (230, 85)]","[(60, 783, 332, 783, 332, 866, 60, 866), (489, 813, 706, 813, 706, 866, 489, 866), (428, 847, 694, 847, 694, 934, 428, 934), (557, 196, 612, 196, 612, 394, 557, 394), (237, 244, 302, 244, 302, 455, 237, 455), (384, 673, 655, 673, 655, 936, 384, 936), (454, 319, 711, 319, 711, 609, 454, 609), (17, 47, 277, 47, 277, 187, 17, 187), (104, 772, 286, 772, 286, 891, 104, 891), (31, 373, 254, 373, 254, 423, 31, 423), (192, 214, 399, 214, 399, 446, 192, 446), (735, 55, 965, 55, 965, 140, 735, 140)]"
"[(65, 84), (122, 223), (137, 175), (239, 170)]","[(776, 351, 841, 351, 841, 435, 776, 435), (799, 312, 921, 312, 921, 535, 799, 535), (747, 588, 884, 588, 884, 763, 747, 763), (651, 586, 890, 586, 890, 756, 651, 756)]"
"[(248, 221), (235, 93), (298, 141), (108, 146), (51, 163), (111, 290)]","[(198, 272, 446, 272, 446, 493, 198, 493), (217, 340, 452, 340, 452, 433, 217, 433), (63, 36, 361, 36, 361, 177, 63, 177), (693, 344, 801, 344, 801, 490, 693, 490), (508, 648, 559, 648, 559, 811, 508, 811), (552, 586, 663, 586, 663, 876, 552, 876)]"
"[(90, 110), (212, 171), (275, 154), (118, 149), (294, 106)]","[(793, 450, 883, 450, 883, 560, 793, 560), (533, 244, 745, 244, 745, 415, 533, 415), (473, 711, 748, 711, 748, 865, 473, 865), (653, 302, 771, 302, 771, 451, 653, 451), (248, 826, 542, 826, 542, 932, 248, 932)]"
"[(146, 178), (141, 209), (64, 227), (88, 53), (281, 205), (210, 84), (73, 274), (163, 283), (193, 230)]","[(808, 548, 954, 548, 954, 726, 808, 726), (167, 601, 308, 601, 308, 810, 167, 810), (63, 361, 127, 361, 127, 588, 63, 588), (457, 848, 545, 848, 545, 901, 457, 901), (166, 596, 447, 596, 447, 801, 166, 801), (346, 783, 556, 783, 556, 867, 346, 867), (709, 381, 782, 381, 782, 655, 709, 655), (302, 395, 465, 395, 465, 678, 302, 678), (447, 277, 640, 277, 640, 507, 447, 507)]"
"[(160, 124), (210, 121), (136, 285), (152, 89), (105, 201), (80, 166), (220, 89), (157, 144), (252, 134), (129, 119)]","[(470, 85, 630, 85, 630, 209, 470, 209), (641, 804, 851, 804, 851, 925, 641, 925), (244, 442, 380, 442, 380, 727, 244, 727), (723, 651, 875, 651, 875, 740, 723, 740), (472, 536, 577, 536, 577, 737, 472, 737), (138, 341, 218, 341, 218, 507, 138, 507), (262, 776, 482, 776, 482, 865, 262, 865), (111, 63, 268, 63, 268, 207, 111, 207), (737, 515, 989, 515, 989, 649, 737, 649), (806, 191, 935, 191, 935, 310, 806, 310)]"
"[(115, 171), (242, 184), (179, 252), (236, 158), (92, 74), (227, 185), (62, 221), (94, 167), (201, 244)]","[(116, 823, 231, 823, 231, 994, 116, 994), (575, 813, 817, 813, 817, 997, 575, 997), (198, 738, 377, 738, 377, 990, 198, 990), (55, 196, 291, 196, 291, 354, 55, 354), (245, 800, 337, 800, 337, 874, 245, 874), (729, 207, 956, 207, 956, 392, 729, 392), (501, 772, 563, 772, 563, 993, 501, 993), (52, 236, 146, 236, 146, 403, 52, 403), (780, 96, 981, 96, 981, 340, 780, 340)]"
"[(76, 268), (205, 242), (277, 279), (81, 166), (284, 217), (247, 242), (63, 156), (258, 159), (154, 83), (300, 295), (111, 241)]","[(333, 311, 409, 311, 409, 579, 333, 579), (536, 22, 741, 22, 741, 264, 536, 264), (438, 416, 715, 416, 715, 695, 438, 695), (251, 313, 332, 313, 332, 479, 251, 479), (664, 480, 948, 480, 948, 697, 664, 697), (3, 320, 250, 320, 250, 562, 3, 562), (335, 348, 398, 348, 398, 504, 335, 504), (102, 193, 360, 193, 360, 352, 102, 352), (690, 698, 844, 698, 844, 781, 690, 781), (67, 282, 367, 282, 367, 577, 67, 577), (482, 495, 593, 495, 593, 736, 482, 736)]"
"[(224, 50), (69, 130), (137, 158), (65, 249), (193, 57)]","[(758, 522, 982, 522, 982, 572, 758, 572), (529, 708, 598, 708, 598, 838, 529, 838), (51, 421, 188, 421, 188, 579, 51, 579), (706, 510, 771, 510, 771, 759, 706, 759), (562, 599, 755, 599, 755, 656, 562, 656)]"
"[(65, 165), (283, 299), (54, 211), (219, 219), (268, 187)]","[(320, 31, 385, 31, 385, 196, 320, 196), (274, 621, 557, 621, 557, 920, 274, 920), (782, 289, 836, 289, 836, 500, 782, 500), (188, 557, 407, 557, 407, 776, 188, 776), (91, 617, 359, 617, 359, 804, 91, 804)]"
"[(79, 132), (207, 129), (199, 67), (147, 196), (183, 79), (67, 102), (166, 292), (268, 258)]","[(498, 757, 577, 757, 577, 889, 498, 889), (612, 148, 819, 148, 819, 277, 612, 277), (208, 137, 407, 137, 407, 204, 208, 204), (283, 442, 430, 442, 430, 638, 283, 638), (345, 57, 528, 57, 528, 136, 345, 136), (375, 16, 442, 16, 442, 118, 375, 118), (714, 646, 880, 646, 880, 938, 714, 938), (497, 85, 765, 85, 765, 343, 497, 343)]"
"[(280, 127), (90, 260), (300, 102), (224, 113), (121, 231), (266, 87)]","[(260, 592, 540, 592, 540, 719, 260, 719), (112, 219, 202, 219, 202, 479, 112, 479), (599, 268, 899, 268, 899, 370, 599, 370), (301, 163, 525, 163, 525, 276, 301, 276), (330, 75, 451, 75, 451, 306, 330, 306), (133, 753, 399, 753, 399, 840, 133, 840)]"
"[(77, 260), (240, 254), (215, 74), (202, 240), (95, 183), (278, 67), (184, 136), (206, 250)]","[(333, 733, 410, 733, 410, 993, 333, 993), (698, 412, 938, 412, 938, 666, 698, 666), (335, 915, 550, 915, 550, 989, 335, 989), (517, 36, 719, 36, 719, 276, 517, 276), (181, 809, 276, 809, 276, 992, 181, 992), (352, 714, 630, 714, 630, 781, 352, 781), (394, 127, 578, 127, 578, 263, 394, 263), (484, 129, 690, 129, 690, 379, 484, 379)]"
"[(194, 81), (82, 184), (90, 204), (113, 69)]","[(706, 264, 900, 264, 900, 345, 706, 345), (748, 359, 830, 359, 830, 543, 748, 543), (748, 401, 838, 401, 838, 605, 748, 605), (823, 832, 936, 832, 936, 901, 823, 901)]"
"[(294, 267), (295, 123), (289, 159)]","[(159, 257, 453, 257, 453, 524, 159, 524), (637, 464, 932, 464, 932, 587, 637, 587), (144, 516, 433, 516, 433, 675, 144, 675)]"
"[(88, 52), (78, 290), (232, 172), (184, 139), (57, 178), (138, 72), (269, 112), (177, 173), (265, 200)]","[(835, 61, 923, 61, 923, 113, 835, 113), (776, 278, 854, 278, 854, 568, 776, 568), (433, 462, 665, 462, 665, 634, 433, 634), (134, 765, 318, 765, 318, 904, 134, 904), (917, 499, 974, 499, 974, 677, 917, 677), (484, 511, 622, 511, 622, 583, 484, 583), (293, 164, 562, 164, 562, 276, 293, 276), (576, 668, 753, 668, 753, 841, 576, 841), (586, 317, 851, 317, 851, 517, 586, 517)]"
"[(214, 171), (233, 278), (241, 275), (115, 246), (106, 137), (135, 105), (145, 197), (268, 106), (90, 220), (283, 79)]","[(127, 672, 341, 672, 341, 843, 127, 843), (466, 251, 699, 251, 699, 529, 466, 529), (651, 482, 892, 482, 892, 757, 651, 757), (502, 152, 617, 152, 617, 398, 502, 398), (72, 451, 178, 451, 178, 588, 72, 588), (674, 678, 809, 678, 809, 783, 674, 783), (736, 207, 881, 207, 881, 404, 736, 404), (600, 642, 868, 642, 868, 748, 600, 748), (764, 519, 854, 519, 854, 739, 764, 739), (232, 138, 515, 138, 515, 217, 232, 217)]"
"[(236, 108), (168, 77), (169, 117), (195, 112), (149, 147), (201, 266), (161, 187), (189, 188), (193, 191), (221, 143), (215, 146), (65, 166)]","[(462, 4, 698, 4, 698, 112, 462, 112), (130, 311, 298, 311, 298, 388, 130, 388), (707, 365, 876, 365, 876, 482, 707, 482), (423, 90, 618, 90, 618, 202, 423, 202), (203, 395, 352, 395, 352, 542, 203, 542), (644, 176, 845, 176, 845, 442, 644, 442), (669, 500, 830, 500, 830, 687, 669, 687), (165, 671, 354, 671, 354, 859, 165, 859), (744, 144, 937, 144, 937, 335, 744, 335), (563, 438, 784, 438, 784, 581, 563, 581), (233, 171, 448, 171, 448, 317, 233, 317), (218, 398, 283, 398, 283, 564, 218, 564)]"
"[(203, 68), (192, 268)]","[(674, 521, 877, 521, 877, 589, 674, 589), (427, 472, 619, 472, 619, 740, 427, 740)]"
"[(113, 240), (250, 170), (61, 290), (173, 190), (183, 269), (250, 86), (57, 182), (104, 171), (294, 204), (113, 102), (160, 258)]","[(493, 590, 606, 590, 606, 830, 493, 830), (598, 171, 848, 171, 848, 341, 598, 341), (838, 48, 899, 48, 899, 338, 838, 338), (288, 40, 461, 40, 461, 230, 288, 230), (3, 668, 186, 668, 186, 937, 3, 937), (305, 901, 555, 901, 555, 987, 305, 987), (194, 653, 251, 653, 251, 835, 194, 835), (231, 518, 335, 518, 335, 689, 231, 689), (336, 674, 630, 674, 630, 878, 336, 878), (401, 482, 514, 482, 514, 584, 401, 584), (9, 733, 169, 733, 169, 991, 9, 991)]"
"[(295, 72), (221, 172)]","[(534, 127, 829, 127, 829, 199, 534, 199), (683, 402, 904, 402, 904, 574, 683, 574)]"
"[(188, 291), (249, 165), (224, 102), (188, 222), (147, 64), (237, 192), (171, 232), (198, 194)]","[(315, 680, 503, 680, 503, 971, 315, 971), (565, 308, 814, 308, 814, 473, 565, 473), (635, 173, 859, 173, 859, 275, 635, 275), (503, 343, 691, 343, 691, 565, 503, 565), (408, 859, 555, 859, 555, 923, 408, 923), (657, 336, 894, 336, 894, 528, 657, 528), (144, 475, 315, 475, 315, 707, 144, 707), (243, 323, 441, 323, 441, 517, 243, 517)]"
"[(165, 287), (286, 223), (79, 153), (83, 217), (115, 289), (155, 166), (237, 285), (185, 207), (58, 229), (205, 242), (251, 62)]","[(201, 314, 366, 314, 366, 601, 201, 601), (594, 58, 880, 58, 880, 281, 594, 281), (27, 526, 106, 526, 106, 679, 27, 679), (544, 168, 627, 168, 627, 385, 544, 385), (100, 545, 215, 545, 215, 834, 100, 834), (661, 253, 816, 253, 816, 419, 661, 419), (666, 135, 903, 135, 903, 420, 666, 420), (63, 298, 248, 298, 248, 505, 63, 505), (878, 701, 936, 701, 936, 930, 878, 930), (536, 266, 741, 266, 741, 508, 536, 508), (127, 224, 378, 224, 378, 286, 127, 286)]"
"[(249, 57), (178, 147)]","[(174, 230, 423, 230, 423, 287, 174, 287), (15, 296, 193, 296, 193, 443, 15, 443)]"
"[(165, 213), (144, 270)]","[(112, 543, 277, 543, 277, 756, 112, 756), (179, 284, 323, 284, 323, 554, 179, 554)]"
"[(235, 168), (86, 85), (252, 245)]","[(460, 315, 695, 315, 695, 483, 460, 483), (588, 17, 674, 17, 674, 102, 588, 102), (605, 292, 857, 292, 857, 537, 605, 537)]"
"[(113, 94), (195, 79), (119, 134), (59, 51), (182, 194), (201, 188), (280, 132), (108, 133), (57, 133), (163, 146)]","[(770, 729, 883, 729, 883, 823, 770, 823), (81, 788, 276, 788, 276, 867, 81, 867), (246, 157, 365, 157, 365, 291, 246, 291), (612, 865, 671, 865, 671, 916, 612, 916), (793, 38, 975, 38, 975, 232, 793, 232), (614, 575, 815, 575, 815, 763, 614, 763), (547, 153, 827, 153, 827, 285, 547, 285), (277, 557, 385, 557, 385, 690, 277, 690), (41, 383, 98, 383, 98, 516, 41, 516), (828, 512, 991, 512, 991, 658, 828, 658)]"
"[(182, 78), (179, 215), (144, 116), (210, 193), (170, 254), (225, 127), (143, 145), (268, 59), (204, 219), (69, 282), (164, 185), (262, 238)]","[(248, 43, 430, 43, 430, 121, 248, 121), (670, 601, 849, 601, 849, 816, 670, 816), (541, 394, 685, 394, 685, 510, 541, 510), (347, 18, 557, 18, 557, 211, 347, 211), (679, 217, 849, 217, 849, 471, 679, 471), (410, 53, 635, 53, 635, 180, 410, 180), (650, 807, 793, 807, 793, 952, 650, 952), (454, 725, 722, 725, 722, 784, 454, 784), (403, 296, 607, 296, 607, 515, 403, 515), (195, 539, 264, 539, 264, 821, 195, 821), (741, 117, 905, 117, 905, 302, 741, 302), (175, 380, 437, 380, 437, 618, 175, 618)]"
"[(69, 126), (59, 86), (57, 113), (121, 113), (98, 195), (84, 114), (125, 88), (74, 173)]","[(796, 431, 865, 431, 865, 557, 796, 557), (113, 525, 172, 525, 172, 611, 113, 611), (615, 198, 672, 198, 672, 311, 615, 311), (118, 590, 239, 590, 239, 703, 118, 703), (567, 445, 665, 445, 665, 640, 567, 640), (295, 477, 379, 477, 379, 591, 295, 591), (700, 886, 825, 886, 825, 974, 700, 974), (366, 77, 440, 77, 440, 250, 366, 250)]"
"[(153, 201), (240, 197), (94, 142), (108, 136), (278, 58), (132, 67), (281, 166), (219, 215), (205, 77)]","[(323, 91, 476, 91, 476, 292, 323, 292), (64, 589, 304, 589, 304, 786, 64, 786), (534, 270, 628, 270, 628, 412, 534, 412), (873, 420, 981, 420, 981, 556, 873, 556), (39, 366, 317, 366, 317, 424, 39, 424), (762, 869, 894, 869, 894, 936, 762, 936), (42, 409, 323, 409, 323, 575, 42, 575), (341, 583, 560, 583, 560, 798, 341, 798), (675, 413, 880, 413, 880, 490, 675, 490)]"
"[(58, 231), (84, 284), (275, 220), (156, 112), (295, 166), (92, 156)]","[(245, 769, 303, 769, 303, 1000, 245, 1000), (608, 47, 692, 47, 692, 331, 608, 331), (555, 441, 830, 441, 830, 661, 555, 661), (261, 701, 417, 701, 417, 813, 261, 813), (248, 455, 543, 455, 543, 621, 248, 621), (517, 209, 609, 209, 609, 365, 517, 365)]"
"[(242, 66), (165, 278), (153, 217), (267, 167), (194, 250), (91, 282), (193, 213), (223, 248), (230, 60)]","[(334, 791, 576, 791, 576, 857, 334, 857), (73, 9, 238, 9, 238, 287, 73, 287), (564, 45, 717, 45, 717, 262, 564, 262), (663, 736, 930, 736, 930, 903, 663, 903), (404, 731, 598, 731, 598, 981, 404, 981), (39, 591, 130, 591, 130, 873, 39, 873), (624, 338, 817, 338, 817, 551, 624, 551), (565, 433, 788, 433, 788, 681, 565, 681), (427, 2, 657, 2, 657, 62, 427, 62)]"
"[(130, 108), (204, 160), (162, 136)]","[(45, 760, 175, 760, 175, 868, 45, 868), (74, 304, 278, 304, 278, 464, 74, 464), (597, 190, 759, 190, 759, 326, 597, 326)]"
